Fecha,Hora,Fecha valor,Producto,ISIN,Descripción,Tipo,Variación,,Saldo,,ID Orden
04-06-2024,06:47,03-06-2024,,,Retirada Cambio de Divisa,11.418,NO,-389.44,NO,0.00,
03-06-2024,07:42,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,NO,179.32,NO,389.44,
03-06-2024,07:41,31-05-2024,AVANCE GAS HOLDING LTD,BMG067231032,Dividendo,,NO,210.12,NO,210.12,
29-05-2024,16:30,29-05-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 561,54 EUR",,,,EUR,1643.08,
29-05-2024,16:30,29-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,561.54,EUR,2204.62,
29-05-2024,14:35,29-05-2024,HUGO BOSS AG,DE000A1PHFF7,Costes de transacción y/o externos de DEGIRO,,EUR,-3.90,EUR,1643.08,11aac4a7-2876-43b5-8bc3-398c143cdbf9
29-05-2024,14:35,29-05-2024,HUGO BOSS AG,DE000A1PHFF7,"Compra 12 Hugo Boss AG@46,47 EUR (DE000A1PHFF7)",,EUR,-557.64,EUR,1646.98,11aac4a7-2876-43b5-8bc3-398c143cdbf9
29-05-2024,08:45,28-05-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 42,93 EUR",,,,EUR,2204.62,
29-05-2024,08:45,28-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-42.93,EUR,2161.69,
28-05-2024,18:25,28-05-2024,NUSCALE POWER CORP,US67079K1007,Retirada Cambio de Divisa,1.0899,USD,-728.00,USD,0.00,837ba539-3090-4273-95c3-d0fb08a03aea
28-05-2024,18:25,28-05-2024,NUSCALE POWER CORP,US67079K1007,Ingreso Cambio de Divisa,,EUR,667.94,EUR,2204.62,837ba539-3090-4273-95c3-d0fb08a03aea
28-05-2024,18:25,28-05-2024,NUSCALE POWER CORP,US67079K1007,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,1536.68,837ba539-3090-4273-95c3-d0fb08a03aea
28-05-2024,18:25,28-05-2024,NUSCALE POWER CORP,US67079K1007,"Venta 80 NUSCALE POWER CORP@9,1 USD (US67079K1007)",,USD,728.00,USD,728.00,837ba539-3090-4273-95c3-d0fb08a03aea
28-05-2024,16:58,28-05-2024,NUSCALE POWER CORP,US67079K1007,Ingreso Cambio de Divisa,1.0847,USD,673.60,USD,0.00,9efa462a-409b-4c7b-892a-e3abea208912
28-05-2024,16:58,28-05-2024,NUSCALE POWER CORP,US67079K1007,Retirada Cambio de Divisa,,EUR,-621.01,EUR,1538.68,9efa462a-409b-4c7b-892a-e3abea208912
28-05-2024,16:58,28-05-2024,NUSCALE POWER CORP,US67079K1007,Costes de transacción y/o externos de DEGIRO,,EUR,-2.00,EUR,2159.69,9efa462a-409b-4c7b-892a-e3abea208912
28-05-2024,16:58,28-05-2024,NUSCALE POWER CORP,US67079K1007,"Compra 80 NUSCALE POWER CORP@8,42 USD (US67079K1007)",,USD,-673.60,USD,-673.60,9efa462a-409b-4c7b-892a-e3abea208912
27-05-2024,16:30,27-05-2024,,,"Transferir a su Cuenta de Efectivo en flatexDEGIRO Bank: 50,53 EUR",,,,EUR,2161.69,
27-05-2024,16:30,27-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,-50.53,EUR,2111.16,
25-05-2024,13:56,24-05-2024,MAPFRE,ES0124244E34,Retención del dividendo,,EUR,-11.85,EUR,2161.69,
25-05-2024,13:56,24-05-2024,MAPFRE,ES0124244E34,Dividendo,,EUR,62.38,EUR,2173.54,
22-05-2024,16:45,22-05-2024,,,"Transferir desde su Cuenta de Efectivo en flatexDEGIRO Bank: 306,5 EUR",,,,EUR,2111.16,
22-05-2024,16:45,22-05-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,306.50,EUR,2417.66,
