Fecha,Hora,Producto,ISIN,Bolsa de,Centro de ejecución,Número,Precio,,Valor local,,Valor,,Tipo de cambio,Costes de transacción,,Total,,ID Orden
27-01-2021,13:39,FERROVIAL,ES0118900010,MAD,XMAD,15,20.0000,EUR,-300.00,EUR,-300.00,EUR,,-2.15,EUR,-302.15,EUR,7510bd0c-f19c-4f16-bbe8-5d0530b0ca44
26-01-2021,15:39,PHARMA MAR SA,ES0169501022,MAD,XMAD,-1,110.0000,EUR,110.00,EUR,110.00,EUR,,-2.06,EUR,107.94,EUR,8afb4e71-548b-4472-ba4c-d3776e1b1bac
26-01-2021,10:20,NATURGY ENERGY GROUP SA,ES0116870314,MAD,XMAD,-10,22.3000,EUR,223.00,EUR,223.00,EUR,,-2.11,EUR,220.89,EUR,e4596ce6-dba1-435c-a180-d5de844b6edb
22-01-2021,16:04,IBERDROLA SA-RTS,ES06445809L2,MAD,XMAD,1522,0.1658,EUR,-252.35,EUR,-252.35,EUR,,-0.13,EUR,-252.48,EUR,f00ab67a-06e4-4f63-974b-de2148fad1e9
22-01-2021,16:01,IBERDROLA SA-RTS,ES06445809L2,MAD,XMAD,1000,0.1658,EUR,-165.80,EUR,-165.80,EUR,,-0.08,EUR,-165.88,EUR,f00ab67a-06e4-4f63-974b-de2148fad1e9
22-01-2021,15:58,IBERDROLA SA-RTS,ES06445809L2,MAD,XMAD,278,0.1658,EUR,-46.09,EUR,-46.09,EUR,,-2.02,EUR,-48.11,EUR,f00ab67a-06e4-4f63-974b-de2148fad1e9
21-01-2021,15:18,EBRO FOODS,ES0112501012,MAD,MESI,22,18.0000,EUR,-396.00,EUR,-396.00,EUR,,-2.20,EUR,-398.20,EUR,911440c5-5e86-40a0-9064-a9411b8c4827
18-01-2021,14:40,ACERINOX,ES0132105018,MAD,XMAD,-30,9.6000,EUR,288.00,EUR,288.00,EUR,,-2.14,EUR,285.86,EUR,c96508e3-8817-4756-b995-13544d0781fb
18-01-2021,12:19,SANTANDER,ES0113900J37,MAD,XMAD,-3,2.7150,EUR,8.15,EUR,8.15,EUR,,,EUR,8.15,EUR,4a6554be-4ea2-46d9-a0ba-1068cf4ae8df
18-01-2021,12:19,SANTANDER,ES0113900J37,MAD,XMAD,-76,2.7150,EUR,206.34,EUR,206.34,EUR,,-2.10,EUR,204.24,EUR,4a6554be-4ea2-46d9-a0ba-1068cf4ae8df
31-12-2020,00:00,SANTANDER,ES0113900J37,MAD,,0,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
31-12-2020,00:00,BANCO SANTANDER SA - RIGHTS,ES06139009S5,MAD,,-13,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
17-12-2020,14:32,REPSOL SA,ES0173516115,MAD,XMAD,82,8.3740,EUR,-686.67,EUR,-686.67,EUR,,-2.34,EUR,-689.01,EUR,3bddab21-f170-4614-9d15-e30a3b9a759e
17-12-2020,12:57,ACERINOX,ES0132105018,MAD,XMAD,-31,9.1540,EUR,283.77,EUR,283.77,EUR,,-2.14,EUR,281.63,EUR,65262070-3e39-4b7f-bc27-b16f0cad6e28
14-12-2020,11:06,SANTANDER - NON TRADEABLE,ES0113900J37,DEG,,-9,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
14-12-2020,11:06,SANTANDER,ES0113900J37,MAD,,9,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
10-12-2020,12:21,AENA SA,ES0105046009,MAD,XMAD,4,136.5000,EUR,-546.00,EUR,-546.00,EUR,,-2.27,EUR,-548.27,EUR,73285556-f888-47ff-93c0-a28a85fdeff0
08-12-2020,11:55,SANTANDER,ES0113900J37,MAD,MSSI,-150,2.7515,EUR,412.73,EUR,412.73,EUR,,-2.21,EUR,410.52,EUR,11abd431-6a89-467f-a67b-233bd23c6b07
30-11-2020,00:00,SANTANDER - NON TRADEABLE,ES0113900J37,DEG,,9,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
30-11-2020,00:00,BANCO SANTANDER SA - RIGHTS,ES06139009S5,MAD,,-207,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
24-11-2020,15:20,INT.AIRL.GRP,ES0177542018,MAD,XMAD,403,1.9500,EUR,-785.85,EUR,-785.85,EUR,,-2.39,EUR,-788.24,EUR,68e20825-bdf9-46d3-a672-be215b93357f
24-11-2020,09:56,PHARMA MAR SA,ES0169501022,MAD,MSSI,-4,89.5000,EUR,358.00,EUR,358.00,EUR,,-2.18,EUR,355.82,EUR,218355d1-50d5-437b-8e9f-e006dbe39d5c
16-11-2020,13:04,PHARMA MAR SA,ES0169501022,MAD,XMAD,5,95.0000,EUR,-475.00,EUR,-475.00,EUR,,-2.24,EUR,-477.24,EUR,0b4ce0d3-d708-4d5c-b296-8b5c4203b58a
16-11-2020,08:55,BANCO SANTANDER SA - RIGHTS,ES06139009S5,MAD,,220,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
16-11-2020,08:55,SANTANDER - NON TRADEABLE,SAN1120DMYXX,DEG,,-220,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
16-11-2020,00:00,SANTANDER - NON TRADEABLE,SAN1120DMYXX,DEG,,220,0.0000,EUR,0.00,EUR,0.00,EUR,,,EUR,0.00,EUR,
13-11-2020,14:03,ACERINOX,ES0132105018,MAD,XMAD,61,8.0800,EUR,-492.88,EUR,-492.88,EUR,,-2.25,EUR,-495.13,EUR,bc91a56d-5c92-4402-9d7d-438e42219a34
13-11-2020,10:41,REDEIA CORPORACION SA,ES0173093024,MAD,XMAD,30,16.2500,EUR,-487.50,EUR,-487.50,EUR,,-2.24,EUR,-489.74,EUR,0ce9518c-e109-4987-a05d-b00c42630196
12-11-2020,09:06,MAPFRE SA,ES0124244E34,MAD,HREU,500,1.5510,EUR,-775.50,EUR,-775.50,EUR,,-2.39,EUR,-777.89,EUR,e9523841-82fd-4dde-b465-9ccc12082462
12-11-2020,09:05,SANTANDER,ES0113900J37,MAD,AQXE,220,2.3055,EUR,-507.21,EUR,-507.21,EUR,,-2.25,EUR,-509.46,EUR,d7adf29f-acfb-4efa-9987-6c264ad5c24e
10-11-2020,13:12,NATURGY ENERGY GROUP SA,ES0116870314,MAD,XMAD,15,17.7000,EUR,-265.50,EUR,-265.50,EUR,,-2.13,EUR,-267.63,EUR,fc312034-1f8b-401a-a0b3-64a514b6c4e2
09-11-2020,13:38,INT.AIRL.GRP,ES0177542018,MAD,XMAD,100,1.4800,EUR,-148.00,EUR,-148.00,EUR,,-2.07,EUR,-150.07,EUR,50ce8d89-70b7-4414-9e40-f714ecac42b9
